@relation 'systemsdevelopment-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R2-5,7'

@attribute x-mean-1000 numeric
@attribute z-var-1000 numeric
@attribute class {walking,sitting,standing}

@data
-9.152579,0.034586,sitting
-9.126271,0.068404,sitting
-9.116577,0.099568,sitting
-9.132933,0.166793,sitting
-9.031924,0.168524,sitting
-9.050537,0.201851,sitting
-9.033769,0.281794,sitting
-8.991661,0.314395,sitting
-8.976693,0.282615,sitting
-8.988545,0.24487,sitting
-8.956273,0.227207,sitting
-8.970633,0.225005,sitting
-8.994659,0.22309,sitting
-8.945893,0.205631,sitting
-9.023464,0.204254,sitting
-9.019165,0.206119,sitting
-9.051761,0.144828,sitting
-9.106405,0.089547,sitting
-9.101564,0.071089,sitting
-9.069059,0.050934,sitting
-9.111243,0.020975,sitting
-9.075981,0.019037,sitting
-9.084274,0.017033,sitting
-9.075699,0.017063,sitting
-9.071151,0.020195,sitting
-9.069086,0.019402,sitting
-9.06744,0.020626,sitting
-9.059943,0.019794,sitting
-9.066513,0.013503,sitting
-9.07639,0.014002,sitting
-9.062434,0.013003,sitting
-9.070184,0.012206,sitting
-9.076343,0.010397,sitting
-9.082947,0.006046,sitting
-9.147152,0.012485,sitting
-9.054304,0.135091,sitting
-9.050153,0.162112,sitting
-9.024515,0.20985,sitting
-9.024876,0.200588,sitting
-8.978522,0.209633,sitting
-8.971801,0.216438,sitting
-8.977096,0.214183,sitting
-8.977816,0.20634,sitting
-8.996279,0.233554,sitting
-8.954011,0.233394,sitting
-9.000488,0.206934,sitting
-9.046054,0.156888,sitting
-9.036771,0.148182,sitting
-9.034709,0.153072,sitting
-9.101631,0.101861,sitting
-9.131737,0.033037,sitting
-9.141198,0.024216,sitting
-9.141528,0.024148,sitting
-9.130443,0.013236,sitting
-9.107159,0.009419,sitting
-9.100096,0.009438,sitting
-9.096591,0.010339,sitting
-9.096256,0.00998,sitting
-9.103714,0.010942,sitting
-9.087699,0.010468,sitting
-9.080689,0.010141,sitting
-9.075847,0.010226,sitting
-9.076123,0.009414,sitting
-9.085596,0.012022,sitting
-9.090234,0.013203,sitting
-9.086842,0.016929,sitting
-9.087495,0.016775,sitting
-9.090764,0.018385,sitting
-9.087353,0.020474,sitting
-9.097204,0.023955,sitting
-9.07047,0.031902,sitting
-9.065473,0.031034,sitting
-9.061586,0.030601,sitting
-9.074459,0.039145,sitting
-9.07182,0.035531,sitting
-9.085744,0.032419,sitting
-9.096485,0.031797,sitting
-9.08622,0.03222,sitting
-9.079776,0.028329,sitting
-9.083899,0.025756,sitting
-9.10737,0.022497,sitting
-9.111452,0.022765,sitting
-9.134597,0.021243,sitting
-9.087658,0.0119,sitting
-9.090088,0.012311,sitting
-9.074472,0.011346,sitting
-9.071306,0.009925,sitting
-9.07858,0.007339,sitting
-9.079371,0.00827,sitting
-9.076125,0.009173,sitting
-9.078233,0.008706,sitting
-9.075634,0.00915,sitting
-9.060767,0.008925,sitting
-9.068563,0.008651,sitting
-9.058598,0.013954,sitting
-9.062623,0.015435,sitting
-9.049406,0.012765,sitting
-9.042485,0.01123,sitting
-9.032241,0.006656,sitting
-9.024806,0.006315,sitting
-9.011238,0.004705,sitting
-9.004733,0.003883,sitting
-8.99634,0.004884,sitting
-8.985526,0.005631,sitting
-8.990172,0.006429,sitting
-8.991255,0.0065,sitting
-8.989378,0.006849,sitting
-8.986606,0.007096,sitting
-8.98816,0.007129,sitting
-9.001524,0.008585,sitting
-9.006665,0.009079,sitting
-9.007641,0.009244,sitting
-9.020852,0.00782,sitting
-9.017552,0.005941,sitting
-9.023322,0.004591,sitting
-9.026754,0.004599,sitting
-9.02466,0.003941,sitting
-9.027467,0.003676,sitting
-9.021283,0.002441,sitting
-9.015441,0.002326,sitting
-9.007929,0.00279,sitting
-9.012311,0.00256,sitting
-9.018657,0.003175,sitting
-9.021363,0.003142,sitting
-9.017492,0.002946,sitting
-9.015087,0.002818,sitting
-9.018849,0.002525,sitting
-9.017026,0.002752,sitting
-9.024744,0.002636,sitting
-9.029172,0.002469,sitting
-9.027697,0.002593,sitting
-9.019897,0.001752,sitting
-9.010773,0.001282,sitting
-9.01142,0.00159,sitting
-9.005522,0.001534,sitting
-9.004767,0.001513,sitting
-8.995194,0.002055,sitting
-8.997515,0.001868,sitting
-8.997518,0.001867,sitting
-8.992698,0.002312,sitting
-8.994438,0.00267,sitting
-8.995344,0.003211,sitting
-9.000053,0.003146,sitting
-9.001687,0.00296,sitting
-8.998827,0.003563,sitting
-9.000306,0.00374,sitting
-9.010677,0.003889,sitting
-9.015398,0.004392,sitting
-9.014054,0.004601,sitting
-9.016769,0.004603,sitting
-9.028804,0.005123,sitting
-9.029366,0.006655,sitting
-9.019176,0.007602,sitting
-9.011954,0.007131,sitting
-9.010763,0.006703,sitting
-9.010074,0.00631,sitting
-9.002329,0.006319,sitting
-9.001152,0.006647,sitting
-9.001008,0.006464,sitting
-8.99428,0.006209,sitting
-8.986055,0.005392,sitting
-8.985343,0.003927,sitting
-8.983618,0.002756,sitting
-8.988062,0.003122,sitting
-8.989303,0.003085,sitting
-8.995288,0.002966,sitting
-8.999298,0.002837,sitting
-8.99662,0.002082,sitting
-8.991297,0.002264,sitting
-9.001891,0.002338,sitting
-9.010224,0.002394,sitting
-9.015375,0.002949,sitting
-9.008916,0.006556,sitting
-9.005306,0.006559,sitting
-9.000507,0.006135,sitting
-8.992698,0.006714,sitting
-8.997038,0.012543,sitting
-8.990795,0.020759,sitting
-9.01089,0.029552,sitting
-9.05008,0.040312,sitting
-9.022239,0.041053,sitting
-9.003789,0.042503,sitting
-8.996868,0.039681,sitting
-9.014736,0.037433,sitting
-9.026305,0.039959,sitting
-9.029895,0.041703,sitting
-9.022464,0.040066,sitting
-9.031311,0.030744,sitting
-9.020786,0.026672,sitting
-8.985056,0.01754,sitting
-9.019867,0.011633,sitting
-9.022118,0.010426,sitting
-9.044691,0.008665,sitting
-9.025387,0.007805,sitting
-9.020637,0.006974,sitting
-9.019477,0.00398,sitting
-9.029564,0.003394,sitting
-9.03381,0.002677,sitting
-9.036283,0.00227,sitting
-9.035847,0.001005,sitting
-9.034866,0.001027,sitting
-9.033763,0.001135,sitting
-9.030314,0.001232,sitting
-9.029589,0.001248,sitting
-9.016409,0.002661,sitting
-9.005405,0.004381,sitting
-8.994553,0.004651,sitting
-8.984037,0.005355,sitting
-8.986243,0.006699,sitting
-8.984629,0.007268,sitting
-9.000141,0.011341,sitting
-8.993138,0.011811,sitting
-8.992267,0.012086,sitting
-8.984199,0.011951,sitting
-8.988621,0.010997,sitting
-8.996079,0.010335,sitting
-9.002732,0.010462,sitting
-9.010696,0.011612,sitting
-9.003853,0.011335,sitting
-8.993691,0.010611,sitting
-8.978915,0.007252,sitting
-8.98655,0.006162,sitting
-8.9908,0.005941,sitting
-8.997759,0.006016,sitting
-8.99777,0.005986,sitting
-8.9967,0.005001,sitting
-8.987368,0.004054,sitting
-8.984417,0.002507,sitting
-8.985139,0.002225,sitting
-8.990058,0.002291,sitting
-8.980776,0.001333,sitting
-8.97771,0.001272,sitting
-8.980965,0.001209,sitting
-8.969037,0.001293,sitting
-8.963838,0.0019,sitting
-8.95783,0.00273,sitting
-8.95674,0.002671,sitting
-8.959632,0.002608,sitting
-8.961684,0.002547,sitting
-8.964284,0.002837,sitting
-8.963152,0.002875,sitting
-8.959878,0.003023,sitting
-8.95944,0.003116,sitting
-8.969349,0.003394,sitting
-8.974606,0.002333,sitting
-8.974977,0.001505,sitting
-8.981123,0.001525,sitting
-8.985384,0.003168,sitting
-8.98273,0.003521,sitting
-8.982203,0.003395,sitting
-8.987456,0.003507,sitting
-8.998848,0.00583,sitting
-9.00191,0.006465,sitting
-8.973637,0.016762,sitting
-8.963154,0.019113,sitting
-8.97409,0.026942,sitting
-8.981508,0.028063,sitting
-8.959478,0.035618,sitting
-8.956071,0.036044,sitting
-8.960122,0.037622,sitting
-8.971014,0.040778,sitting
-1.135528,0.682061,standing
-1.07865,0.622696,standing
-1.031333,0.351065,standing
-1.081709,0.30661,standing
-1.051561,0.304587,standing
-0.972353,0.315496,standing
-0.864805,0.324037,standing
-0.811713,0.212715,standing
-0.777288,0.111244,standing
-0.812036,0.082221,standing
-0.648173,0.033365,standing
-0.64523,0.014822,standing
-0.590033,0.144669,standing
-0.366746,0.666117,standing
-0.194481,0.699996,standing
-0.105421,1.073034,standing
0.000093,1.36304,standing
0.086711,1.32272,standing
0.170101,1.29475,standing
0.236001,1.222781,standing
0.341144,1.100734,standing
0.443773,0.956089,standing
0.572231,0.727592,standing
0.506112,0.495728,standing
0.428664,0.158266,standing
0.458028,0.119121,standing
0.420448,0.076607,standing
0.362549,0.084614,standing
0.34929,0.080284,standing
0.373019,0.074407,standing
0.412434,0.07519,standing
0.354944,0.057229,standing
0.278648,0.048555,standing
0.305118,0.041832,standing
0.327259,0.046072,standing
0.326248,0.041658,standing
0.316525,0.033739,standing
0.32569,0.020352,standing
0.350801,0.022352,standing
0.343909,0.025172,standing
0.325235,0.025349,standing
0.367065,0.024768,standing
0.36931,0.018085,standing
0.338385,0.030098,standing
0.341527,0.037795,standing
0.328575,0.038446,standing
0.3198,0.039317,standing
0.299747,0.038597,standing
0.281092,0.046716,standing
0.242253,0.0526,standing
0.206724,0.051322,standing
0.178579,0.046811,standing
0.161137,0.041817,standing
0.238007,0.042003,standing
0.174481,0.046003,standing
0.18998,0.055862,standing
0.181947,0.053748,standing
0.193633,0.040563,standing
0.218025,0.041353,standing
0.223268,0.047142,standing
0.209331,0.048489,standing
0.222375,0.048423,standing
0.256916,0.049974,standing
0.17997,0.051156,standing
0.202451,0.040905,standing
0.203369,0.033235,standing
0.215948,0.034619,standing
0.216737,0.032527,standing
0.188582,0.026915,standing
0.247185,0.020541,standing
0.251672,0.018199,standing
0.360635,0.025211,standing
0.340898,0.031887,standing
0.346089,0.057215,standing
0.411692,0.07017,standing
0.435342,0.085137,standing
0.403298,0.101684,standing
0.399844,0.107766,standing
0.42786,0.109624,standing
0.390046,0.111772,standing
0.411412,0.112821,standing
0.300672,0.102582,standing
0.32352,0.09712,standing
0.374383,0.078647,standing
0.353888,0.06836,standing
0.324485,0.087633,standing
0.349509,0.075861,standing
0.361571,0.065797,standing
0.377171,0.066768,standing
0.381888,0.070945,standing
0.374427,0.055314,standing
0.362126,0.043378,standing
0.388254,0.032957,standing
0.361497,0.028475,standing
0.298496,0.031381,standing
0.286243,0.021109,standing
0.284749,0.040723,standing
0.320523,0.046043,standing
0.281238,0.072479,standing
0.252415,0.088669,standing
0.251068,0.099807,standing
0.25094,0.099964,standing
0.209711,0.102802,standing
0.223268,0.105374,standing
0.269306,0.103067,standing
0.26342,0.10305,standing
0.268482,0.069474,standing
0.229309,0.063309,standing
0.253481,0.042272,standing
0.301475,0.03473,standing
0.354175,0.028651,standing
0.344998,0.035346,standing
0.347836,0.034921,standing
0.327792,0.039608,standing
0.336765,0.044088,standing
0.386426,0.044212,standing
0.36485,0.077588,standing
0.284597,0.094426,standing
0.260025,0.097178,standing
0.244661,0.082948,standing
0.209377,0.074505,standing
0.214045,0.075242,standing
0.209642,0.076415,standing
0.215847,0.084273,standing
0.186762,0.078054,standing
0.149551,0.077421,standing
0.13863,0.062356,standing
